current_state,previous_state,estimate,year,current_region,previous_division
AK,AL,477,2010,West,East South Central
AK,AL,93,2011,West,East South Central
AK,AL,1097,2012,West,East South Central
AK,AL,572,2013,West,East South Central
AK,AL,603,2014,West,East South Central
AK,AL,279,2015,West,East South Central
AK,AL,423,2016,West,East South Central
AK,AL,942,2017,West,East South Central
AK,AL,518,2018,West,East South Central
AK,AL,260,2019,West,East South Central
CA,AL,3364,2010,West,East South Central
CA,AL,2087,2011,West,East South Central
CA,AL,2509,2012,West,East South Central
CA,AL,2958,2013,West,East South Central
CA,AL,10439,2014,West,East South Central
CA,AL,5273,2015,West,East South Central
CA,AL,3045,2016,West,East South Central
CA,AL,3715,2017,West,East South Central
CA,AL,4591,2018,West,East South Central
CA,AL,3310,2019,West,East South Central
HI,AL,749,2010,West,East South Central
HI,AL,1268,2011,West,East South Central
HI,AL,608,2012,West,East South Central
HI,AL,593,2013,West,East South Central
HI,AL,510,2014,West,East South Central
HI,AL,240,2015,West,East South Central
HI,AL,1182,2016,West,East South Central
HI,AL,844,2017,West,East South Central
HI,AL,484,2018,West,East South Central
HI,AL,502,2019,West,East South Central
OR,AL,400,2010,West,East South Central
OR,AL,758,2011,West,East South Central
OR,AL,373,2012,West,East South Central
OR,AL,704,2013,West,East South Central
OR,AL,156,2014,West,East South Central
OR,AL,654,2015,West,East South Central
OR,AL,167,2016,West,East South Central
OR,AL,179,2017,West,East South Central
OR,AL,315,2018,West,East South Central
OR,AL,162,2019,West,East South Central
WA,AL,1322,2010,West,East South Central
WA,AL,1821,2011,West,East South Central
WA,AL,1507,2012,West,East South Central
WA,AL,686,2013,West,East South Central
WA,AL,1640,2014,West,East South Central
WA,AL,580,2015,West,East South Central
WA,AL,1465,2016,West,East South Central
WA,AL,1605,2017,West,East South Central
WA,AL,495,2018,West,East South Central
WA,AL,1060,2019,West,East South Central
AZ,AL,416,2010,West,East South Central
AZ,AL,833,2011,West,East South Central
AZ,AL,1331,2012,West,East South Central
AZ,AL,2140,2013,West,East South Central
AZ,AL,785,2014,West,East South Central
AZ,AL,607,2015,West,East South Central
AZ,AL,894,2016,West,East South Central
AZ,AL,1337,2017,West,East South Central
AZ,AL,2801,2018,West,East South Central
AZ,AL,1750,2019,West,East South Central
CO,AL,954,2010,West,East South Central
CO,AL,2340,2011,West,East South Central
CO,AL,3108,2012,West,East South Central
CO,AL,2926,2013,West,East South Central
CO,AL,1004,2014,West,East South Central
CO,AL,2392,2015,West,East South Central
CO,AL,2328,2016,West,East South Central
CO,AL,3120,2017,West,East South Central
CO,AL,3597,2018,West,East South Central
CO,AL,3422,2019,West,East South Central
ID,AL,376,2010,West,East South Central
ID,AL,263,2011,West,East South Central
ID,AL,575,2012,West,East South Central
ID,AL,72,2013,West,East South Central
ID,AL,166,2014,West,East South Central
ID,AL,564,2015,West,East South Central
ID,AL,0,2016,West,East South Central
ID,AL,58,2017,West,East South Central
ID,AL,84,2018,West,East South Central
ID,AL,19,2019,West,East South Central
MT,AL,212,2010,West,East South Central
MT,AL,449,2011,West,East South Central
MT,AL,31,2012,West,East South Central
MT,AL,21,2013,West,East South Central
MT,AL,134,2014,West,East South Central
MT,AL,0,2015,West,East South Central
MT,AL,296,2016,West,East South Central
MT,AL,301,2017,West,East South Central
MT,AL,540,2018,West,East South Central
MT,AL,400,2019,West,East South Central
NM,AL,751,2010,West,East South Central
NM,AL,410,2011,West,East South Central
NM,AL,787,2012,West,East South Central
NM,AL,63,2013,West,East South Central
NM,AL,41,2014,West,East South Central
NM,AL,356,2015,West,East South Central
NM,AL,732,2016,West,East South Central
NM,AL,770,2017,West,East South Central
NM,AL,1099,2018,West,East South Central
NM,AL,751,2019,West,East South Central
NV,AL,150,2010,West,East South Central
NV,AL,280,2011,West,East South Central
NV,AL,761,2012,West,East South Central
NV,AL,491,2013,West,East South Central
NV,AL,475,2014,West,East South Central
NV,AL,1830,2015,West,East South Central
NV,AL,394,2016,West,East South Central
NV,AL,191,2017,West,East South Central
NV,AL,397,2018,West,East South Central
NV,AL,239,2019,West,East South Central
UT,AL,93,2010,West,East South Central
UT,AL,486,2011,West,East South Central
UT,AL,126,2012,West,East South Central
UT,AL,574,2013,West,East South Central
UT,AL,365,2014,West,East South Central
UT,AL,369,2015,West,East South Central
UT,AL,125,2016,West,East South Central
UT,AL,644,2017,West,East South Central
UT,AL,315,2018,West,East South Central
UT,AL,1027,2019,West,East South Central
WY,AL,172,2010,West,East South Central
WY,AL,51,2011,West,East South Central
WY,AL,260,2012,West,East South Central
WY,AL,40,2013,West,East South Central
WY,AL,254,2014,West,East South Central
WY,AL,253,2015,West,East South Central
WY,AL,265,2016,West,East South Central
WY,AL,264,2017,West,East South Central
WY,AL,639,2018,West,East South Central
WY,AL,1227,2019,West,East South Central
KY,AL,2161,2010,South,East South Central
KY,AL,925,2011,South,East South Central
KY,AL,4137,2012,South,East South Central
KY,AL,1418,2013,South,East South Central
KY,AL,1409,2014,South,East South Central
KY,AL,1463,2015,South,East South Central
KY,AL,2272,2016,South,East South Central
KY,AL,2851,2017,South,East South Central
KY,AL,2055,2018,South,East South Central
KY,AL,4390,2019,South,East South Central
MS,AL,8306,2010,South,East South Central
MS,AL,8922,2011,South,East South Central
MS,AL,5141,2012,South,East South Central
MS,AL,7077,2013,South,East South Central
MS,AL,6816,2014,South,East South Central
MS,AL,6827,2015,South,East South Central
MS,AL,5125,2016,South,East South Central
MS,AL,5936,2017,South,East South Central
MS,AL,8401,2018,South,East South Central
MS,AL,3512,2019,South,East South Central
TN,AL,8897,2010,South,East South Central
TN,AL,9326,2011,South,East South Central
TN,AL,12116,2012,South,East South Central
TN,AL,8500,2013,South,East South Central
TN,AL,9640,2014,South,East South Central
TN,AL,10291,2015,South,East South Central
TN,AL,7683,2016,South,East South Central
TN,AL,9523,2017,South,East South Central
TN,AL,8547,2018,South,East South Central
TN,AL,6294,2019,South,East South Central
AR,AL,1405,2010,South,East South Central
AR,AL,691,2011,South,East South Central
AR,AL,374,2012,South,East South Central
AR,AL,0,2013,South,East South Central
AR,AL,2145,2014,South,East South Central
AR,AL,956,2015,South,East South Central
AR,AL,2057,2016,South,East South Central
AR,AL,574,2017,South,East South Central
AR,AL,438,2018,South,East South Central
AR,AL,636,2019,South,East South Central
LA,AL,5740,2010,South,East South Central
LA,AL,3065,2011,South,East South Central
LA,AL,2329,2012,South,East South Central
LA,AL,2683,2013,South,East South Central
LA,AL,4808,2014,South,East South Central
LA,AL,3318,2015,South,East South Central
LA,AL,5658,2016,South,East South Central
LA,AL,2830,2017,South,East South Central
LA,AL,1462,2018,South,East South Central
LA,AL,2567,2019,South,East South Central
OK,AL,1612,2010,South,East South Central
OK,AL,591,2011,South,East South Central
OK,AL,1030,2012,South,East South Central
OK,AL,1024,2013,South,East South Central
OK,AL,993,2014,South,East South Central
OK,AL,957,2015,South,East South Central
OK,AL,176,2016,South,East South Central
OK,AL,1133,2017,South,East South Central
OK,AL,541,2018,South,East South Central
OK,AL,241,2019,South,East South Central
TX,AL,8636,2010,South,East South Central
TX,AL,8747,2011,South,East South Central
TX,AL,9993,2012,South,East South Central
TX,AL,8404,2013,South,East South Central
TX,AL,6437,2014,South,East South Central
TX,AL,7167,2015,South,East South Central
TX,AL,6915,2016,South,East South Central
TX,AL,10235,2017,South,East South Central
TX,AL,5945,2018,South,East South Central
TX,AL,8791,2019,South,East South Central
DC,AL,360,2010,South,East South Central
DC,AL,13,2011,South,East South Central
DC,AL,79,2012,South,East South Central
DC,AL,316,2013,South,East South Central
DC,AL,251,2014,South,East South Central
DC,AL,359,2015,South,East South Central
DC,AL,140,2016,South,East South Central
DC,AL,494,2017,South,East South Central
DC,AL,174,2018,South,East South Central
DC,AL,462,2019,South,East South Central
DE,AL,128,2010,South,East South Central
DE,AL,81,2011,South,East South Central
