current_region,previous_division,year,estimate
Midwest,East North Central,2010,305332
Midwest,East North Central,2011,308953
Midwest,East North Central,2012,309676
Midwest,East North Central,2013,320091
Midwest,East North Central,2014,350330
Midwest,East North Central,2015,340514
Midwest,East North Central,2016,337519
Midwest,East North Central,2017,314580
Midwest,East North Central,2018,319437
Midwest,East North Central,2019,307933
Midwest,East South Central,2010,69877
Midwest,East South Central,2011,81710
Midwest,East South Central,2012,83249
Midwest,East South Central,2013,78548
Midwest,East South Central,2014,89161
Midwest,East South Central,2015,87208
Midwest,East South Central,2016,91864
Midwest,East South Central,2017,91326
Midwest,East South Central,2018,90155
Midwest,East South Central,2019,86151
Midwest,Middle Atlantic,2010,71902
Midwest,Middle Atlantic,2011,79957
Midwest,Middle Atlantic,2012,79450
Midwest,Middle Atlantic,2013,78687
Midwest,Middle Atlantic,2014,92936
Midwest,Middle Atlantic,2015,88962
Midwest,Middle Atlantic,2016,86873
Midwest,Middle Atlantic,2017,87708
Midwest,Middle Atlantic,2018,91237
Midwest,Middle Atlantic,2019,91922
Midwest,Mountain,2010,104113
Midwest,Mountain,2011,122582
Midwest,Mountain,2012,115126
Midwest,Mountain,2013,113372
Midwest,Mountain,2014,113168
Midwest,Mountain,2015,116938
Midwest,Mountain,2016,118528
Midwest,Mountain,2017,111365
Midwest,Mountain,2018,122950
Midwest,Mountain,2019,113557
Midwest,New England,2010,24985
Midwest,New England,2011,32518
Midwest,New England,2012,26292
Midwest,New England,2013,29915
Midwest,New England,2014,31263
Midwest,New England,2015,34728
Midwest,New England,2016,34159
Midwest,New England,2017,28921
Midwest,New England,2018,30695
Midwest,New England,2019,33542
Midwest,Pacific,2010,115049
Midwest,Pacific,2011,125701
Midwest,Pacific,2012,126127
Midwest,Pacific,2013,135371
Midwest,Pacific,2014,129550
Midwest,Pacific,2015,129894
Midwest,Pacific,2016,121753
Midwest,Pacific,2017,135671
Midwest,Pacific,2018,125012
Midwest,Pacific,2019,124854
Midwest,South Atlantic,2010,187526
Midwest,South Atlantic,2011,196424
Midwest,South Atlantic,2012,210398
Midwest,South Atlantic,2013,215315
Midwest,South Atlantic,2014,204587
Midwest,South Atlantic,2015,199738
Midwest,South Atlantic,2016,211279
Midwest,South Atlantic,2017,206118
Midwest,South Atlantic,2018,198853
Midwest,South Atlantic,2019,206158
Midwest,West North Central,2010,229954
Midwest,West North Central,2011,232512
Midwest,West North Central,2012,233018
Midwest,West North Central,2013,241809
Midwest,West North Central,2014,232774
Midwest,West North Central,2015,252766
Midwest,West North Central,2016,242880
Midwest,West North Central,2017,248185
Midwest,West North Central,2018,241676
Midwest,West North Central,2019,243650
Midwest,West South Central,2010,114302
Midwest,West South Central,2011,120695
Midwest,West South Central,2012,124666
Midwest,West South Central,2013,119641
Midwest,West South Central,2014,125398
Midwest,West South Central,2015,126669
Midwest,West South Central,2016,128825
Midwest,West South Central,2017,133477
Midwest,West South Central,2018,121408
Midwest,West South Central,2019,116056
Northeast,East North Central,2010,77871
Northeast,East North Central,2011,74697
Northeast,East North Central,2012,65945
Northeast,East North Central,2013,69532
Northeast,East North Central,2014,65628
Northeast,East North Central,2015,69870
Northeast,East North Central,2016,75428
Northeast,East North Central,2017,71889
Northeast,East North Central,2018,67214
Northeast,East North Central,2019,68434
Northeast,East South Central,2010,17222
Northeast,East South Central,2011,25266
Northeast,East South Central,2012,18858
Northeast,East South Central,2013,20038
Northeast,East South Central,2014,23352
Northeast,East South Central,2015,19204
Northeast,East South Central,2016,21843
Northeast,East South Central,2017,21033
Northeast,East South Central,2018,21427
Northeast,East South Central,2019,24011
Northeast,Middle Atlantic,2010,268201
Northeast,Middle Atlantic,2011,273133
Northeast,Middle Atlantic,2012,283579
Northeast,Middle Atlantic,2013,274110
Northeast,Middle Atlantic,2014,277877
Northeast,Middle Atlantic,2015,295912
Northeast,Middle Atlantic,2016,295281
Northeast,Middle Atlantic,2017,310098
Northeast,Middle Atlantic,2018,320032
Northeast,Middle Atlantic,2019,310654
Northeast,Mountain,2010,39678
Northeast,Mountain,2011,40241
Northeast,Mountain,2012,40032
Northeast,Mountain,2013,38834
Northeast,Mountain,2014,43234
Northeast,Mountain,2015,42659
Northeast,Mountain,2016,39400
Northeast,Mountain,2017,41251
Northeast,Mountain,2018,42023
