current_state,previous_state,estimate,margin_of_error,year
NC,AK,1618,1103.0,2010
NC,AL,3044,1381.0,2010
NC,AR,550,306.0,2010
NC,AZ,2847,1062.0,2010
NC,CA,16699,3085.0,2010
NC,CO,1842,1052.0,2010
NC,CT,3752,1748.0,2010
NC,DC,1691,548.0,2010
NC,DE,479,354.0,2010
NC,FL,28983,4184.0,2010
NC,GA,15943,3370.0,2010
NC,HI,1567,871.0,2010
NC,IA,1077,806.0,2010
NC,ID,724,564.0,2010
NC,IL,5657,1875.0,2010
NC,IN,4132,1280.0,2010
NC,KS,2192,1266.0,2010
NC,KY,4419,1984.0,2010
NC,LA,2180,1222.0,2010
NC,MA,4052,1420.0,2010
NC,MD,9881,2730.0,2010
NC,ME,2259,990.0,2010
NC,MI,5789,2071.0,2010
NC,MN,1839,844.0,2010
NC,MO,1932,965.0,2010
NC,MS,1187,818.0,2010
NC,MT,230,274.0,2010
NC,ND,243,402.0,2010
NC,NE,516,357.0,2010
NC,NH,2130,1440.0,2010
NC,NJ,7195,1847.0,2010
NC,NM,1186,1065.0,2010
NC,NV,698,639.0,2010
NC,NY,19406,3099.0,2010
NC,OH,8661,2362.0,2010
NC,OK,1453,717.0,2010
NC,OR,1796,1013.0,2010
NC,PA,11155,2465.0,2010
NC,RI,97,161.0,2010
NC,SC,23196,4788.0,2010
NC,SD,362,304.0,2010
NC,TN,8685,2249.0,2010
NC,TX,14329,3409.0,2010
NC,UT,790,551.0,2010
NC,VA,25662,3825.0,2010
NC,VT,350,244.0,2010
NC,WA,2874,1166.0,2010
NC,WI,2012,910.0,2010
NC,WV,3025,1129.0,2010
NC,WY,870,819.0,2010
NC,AK,3991,2185.0,2011
NC,AL,5420,2338.0,2011
NC,AR,327,322.0,2011
NC,AZ,4286,2860.0,2011
NC,CA,15373,5531.0,2011
NC,CO,3919,1645.0,2011
NC,CT,1975,820.0,2011
NC,DC,1135,591.0,2011
NC,DE,954,600.0,2011
NC,FL,28044,4471.0,2011
NC,GA,16192,3163.0,2011
NC,HI,1806,1362.0,2011
NC,IA,654,530.0,2011
NC,ID,675,615.0,2011
NC,IL,5971,2065.0,2011
NC,IN,3228,1379.0,2011
NC,KS,4995,4644.0,2011
NC,KY,1637,786.0,2011
NC,LA,2936,1135.0,2011
NC,MA,9053,4920.0,2011
NC,MD,10485,2304.0,2011
NC,ME,824,663.0,2011
NC,MI,7530,2879.0,2011
NC,MN,1294,825.0,2011
NC,MO,2638,1150.0,2011
NC,MS,1273,829.0,2011
NC,MT,563,549.0,2011
NC,ND,189,272.0,2011
NC,NE,1056,1334.0,2011
NC,NH,2078,1738.0,2011
NC,NJ,10374,2643.0,2011
NC,NM,1737,1297.0,2011
NC,NV,1048,716.0,2011
NC,NY,18321,3621.0,2011
NC,OH,10187,3649.0,2011
NC,OK,1390,684.0,2011
NC,OR,1175,826.0,2011
NC,PA,9450,2770.0,2011
NC,RI,444,384.0,2011
NC,SC,20427,3260.0,2011
NC,SD,565,609.0,2011
NC,TN,6057,2083.0,2011
NC,TX,6621,2034.0,2011
NC,UT,961,692.0,2011
NC,VA,27302,4012.0,2011
NC,VT,212,345.0,2011
NC,WA,3295,1566.0,2011
NC,WI,2291,1192.0,2011
NC,WV,2780,1517.0,2011
NC,WY,153,228.0,2011
NC,AK,1458,925.0,2012
NC,AL,4329,1544.0,2012
NC,AR,861,649.0,2012
NC,AZ,3493,1189.0,2012
NC,CA,13883,2813.0,2012
NC,CO,4790,2047.0,2012
NC,CT,4914,1990.0,2012
NC,DC,1801,687.0,2012
NC,DE,2180,1732.0,2012
NC,FL,26365,3750.0,2012
NC,GA,16823,2851.0,2012
NC,HI,1566,921.0,2012
NC,IA,775,524.0,2012
NC,ID,334,256.0,2012
NC,IL,6378,2177.0,2012
NC,IN,4532,2259.0,2012
NC,KS,1595,748.0,2012
NC,KY,1531,794.0,2012
NC,LA,919,758.0,2012
NC,MA,3710,1158.0,2012
NC,MD,9005,2221.0,2012
NC,ME,1259,972.0,2012
NC,MI,6161,2547.0,2012
NC,MN,1523,838.0,2012
NC,MO,2623,1742.0,2012
NC,MS,2377,1092.0,2012
NC,MT,244,306.0,2012
NC,ND,206,232.0,2012
NC,NE,628,628.0,2012
NC,NH,754,525.0,2012
NC,NJ,11468,4262.0,2012
NC,NM,1138,705.0,2012
NC,NV,1627,807.0,2012
NC,NY,19891,3951.0,2012
NC,OH,9337,2484.0,2012
NC,OK,1263,753.0,2012
NC,OR,1333,772.0,2012
NC,PA,12179,2356.0,2012
NC,RI,290,198.0,2012
NC,SC,25532,4732.0,2012
NC,SD,351,186.0,2012
NC,TN,9230,2122.0,2012
NC,TX,12638,2381.0,2012
NC,UT,1189,1040.0,2012
NC,VA,26759,4229.0,2012
NC,VT,445,291.0,2012
NC,WA,5915,2630.0,2012
NC,WI,2266,980.0,2012
NC,WV,2677,985.0,2012
NC,WY,604,687.0,2012
NC,AK,4199,2237.0,2013
NC,AL,3268,1477.0,2013
NC,AR,1350,861.0,2013
NC,AZ,4437,1555.0,2013
NC,CA,14315,2791.0,2013
NC,CO,4554,1429.0,2013
NC,CT,3918,1886.0,2013
NC,DC,2032,694.0,2013
NC,DE,1111,594.0,2013
NC,FL,24551,4252.0,2013
NC,GA,20440,3273.0,2013
NC,HI,1016,656.0,2013
NC,IA,1380,808.0,2013
NC,ID,750,767.0,2013
NC,IL,6500,2139.0,2013
NC,IN,1888,992.0,2013
NC,KS,1237,608.0,2013
NC,KY,3911,1279.0,2013
NC,LA,1474,1072.0,2013
NC,MA,6177,1780.0,2013
NC,MD,13538,3445.0,2013
NC,ME,615,581.0,2013
NC,MI,6438,1724.0,2013
NC,MN,1969,823.0,2013
NC,MO,1207,581.0,2013
NC,MS,1661,799.0,2013
NC,MT,750,622.0,2013
NC,ND,0,149.0,2013
NC,NE,648,506.0,2013
NC,NH,1923,1130.0,2013
NC,NJ,7690,1944.0,2013
NC,NM,1143,736.0,2013
NC,NV,2165,1189.0,2013
NC,NY,22751,3821.0,2013
NC,OH,8939,2359.0,2013
