previous_state,estimate,margin_of_error,year,region
AK,1618,1103.0,2010,Pacific
AK,3991,2185.0,2011,Pacific
AK,1458,925.0,2012,Pacific
AK,4199,2237.0,2013,Pacific
AK,2467,1100.0,2014,Pacific
AK,578,475.0,2015,Pacific
AK,2059,1052.0,2016,Pacific
AK,1401,788.0,2017,Pacific
AK,1562,728.0,2018,Pacific
AK,1568,930.0,2019,Pacific
CA,16699,3085.0,2010,Pacific
CA,15373,5531.0,2011,Pacific
CA,13883,2813.0,2012,Pacific
CA,14315,2791.0,2013,Pacific
CA,16448,3465.0,2014,Pacific
CA,16985,3902.0,2015,Pacific
CA,17653,2958.0,2016,Pacific
CA,22469,4025.0,2017,Pacific
CA,17536,3401.0,2018,Pacific
CA,18023,3467.0,2019,Pacific
HI,1567,871.0,2010,Pacific
HI,1806,1362.0,2011,Pacific
HI,1566,921.0,2012,Pacific
HI,1016,656.0,2013,Pacific
HI,2546,1593.0,2014,Pacific
HI,2910,1238.0,2015,Pacific
HI,1365,858.0,2016,Pacific
HI,1463,974.0,2017,Pacific
HI,3402,2708.0,2018,Pacific
HI,2955,1904.0,2019,Pacific
OR,1796,1013.0,2010,Pacific
OR,1175,826.0,2011,Pacific
OR,1333,772.0,2012,Pacific
OR,1442,710.0,2013,Pacific
OR,1311,634.0,2014,Pacific
OR,733,582.0,2015,Pacific
OR,1263,743.0,2016,Pacific
OR,1778,1166.0,2017,Pacific
OR,3066,1366.0,2018,Pacific
OR,1976,1006.0,2019,Pacific
WA,2874,1166.0,2010,Pacific
WA,3295,1566.0,2011,Pacific
WA,5915,2630.0,2012,Pacific
WA,1929,862.0,2013,Pacific
WA,4435,1767.0,2014,Pacific
WA,1883,859.0,2015,Pacific
WA,4751,2008.0,2016,Pacific
WA,5896,2266.0,2017,Pacific
WA,6790,3095.0,2018,Pacific
WA,2984,1206.0,2019,Pacific
AL,3044,1381.0,2010,East South Central
AL,5420,2338.0,2011,East South Central
AL,4329,1544.0,2012,East South Central
AL,3268,1477.0,2013,East South Central
AL,4264,1390.0,2014,East South Central
AL,3733,1230.0,2015,East South Central
AL,3491,1552.0,2016,East South Central
AL,4526,1707.0,2017,East South Central
AL,3287,1262.0,2018,East South Central
AL,4697,1750.0,2019,East South Central
KY,4419,1984.0,2010,East South Central
KY,1637,786.0,2011,East South Central
KY,1531,794.0,2012,East South Central
KY,3911,1279.0,2013,East South Central
KY,2872,1739.0,2014,East South Central
KY,4702,1472.0,2015,East South Central
KY,3409,1504.0,2016,East South Central
KY,1531,759.0,2017,East South Central
KY,3906,1229.0,2018,East South Central
KY,4793,1813.0,2019,East South Central
MS,1187,818.0,2010,East South Central
MS,1273,829.0,2011,East South Central
MS,2377,1092.0,2012,East South Central
MS,1661,799.0,2013,East South Central
MS,1029,688.0,2014,East South Central
MS,721,408.0,2015,East South Central
MS,1509,1008.0,2016,East South Central
MS,1723,970.0,2017,East South Central
MS,3441,1854.0,2018,East South Central
MS,818,347.0,2019,East South Central
TN,8685,2249.0,2010,East South Central
TN,6057,2083.0,2011,East South Central
TN,9230,2122.0,2012,East South Central
TN,7249,1922.0,2013,East South Central
TN,6397,1459.0,2014,East South Central
TN,7575,1867.0,2015,East South Central
TN,8233,2559.0,2016,East South Central
TN,8416,2141.0,2017,East South Central
TN,7476,2384.0,2018,East South Central
TN,9970,2049.0,2019,East South Central
AR,550,306.0,2010,West South Central
AR,327,322.0,2011,West South Central
AR,861,649.0,2012,West South Central
AR,1350,861.0,2013,West South Central
AR,571,371.0,2014,West South Central
AR,707,598.0,2015,West South Central
AR,1135,644.0,2016,West South Central
AR,747,447.0,2017,West South Central
AR,1897,948.0,2018,West South Central
AR,1976,1541.0,2019,West South Central
LA,2180,1222.0,2010,West South Central
LA,2936,1135.0,2011,West South Central
LA,919,758.0,2012,West South Central
LA,1474,1072.0,2013,West South Central
LA,1195,473.0,2014,West South Central
LA,2632,1150.0,2015,West South Central
LA,2562,1282.0,2016,West South Central
LA,3491,1407.0,2017,West South Central
LA,2454,1008.0,2018,West South Central
LA,1272,785.0,2019,West South Central
OK,1453,717.0,2010,West South Central
OK,1390,684.0,2011,West South Central
OK,1263,753.0,2012,West South Central
